epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,128.155,0.99737,3.43841,1.45889,0.00558,1,0.15976,0.13774,0.43124,3.43997,0.63619,0.000233966,0.000233966,0.000233966
2,306.651,0.70572,3.08943,1.28074,0.58854,0.37379,0.46725,0.41564,0.45887,2.43487,0.63693,0.000471851,0.000471851,0.000471851
3,442.764,0.73012,2.6064,1.30666,0.41444,0.60443,0.55453,0.43645,0.77517,2.0379,0.82412,0.000709273,0.000709273,0.000709273
4,627.247,0.72914,2.20221,1.30713,0.41153,0.89167,0.71817,0.58505,0.55773,2.63681,0.6387,0.000712431,0.000712431,0.000712431
5,797.412,0.76496,2.01035,1.32538,0.53663,0.86515,0.74806,0.67442,0.49961,1.56688,0.63876,0.000711213,0.000711213,0.000711213
6,966.057,0.68947,1.78506,1.27111,0.4477,0.75506,0.68215,0.57375,0.68238,1.52203,0.80974,0.000709649,0.000709649,0.000709649
7,1135.43,0.67676,1.74522,1.26981,0.60511,0.81306,0.71249,0.61208,0.54745,1.49051,0.70475,0.00070774,0.00070774,0.00070774
8,1306.46,0.63125,1.64871,1.22416,0.57009,0.83662,0.71947,0.61921,0.56776,1.8343,0.68384,0.000705488,0.000705488,0.000705488
9,1462.77,0.62624,1.60573,1.22844,0.62528,0.80546,0.815,0.79149,0.37095,1.32962,0.57775,0.000702896,0.000702896,0.000702896
10,1599.15,0.60036,1.49526,1.2002,0.6817,0.95,0.82285,0.77404,0.43307,1.11631,0.59181,0.000699967,0.000699967,0.000699967
11,1723.53,0.57247,1.44318,1.1811,0.46815,0.95866,0.81204,0.72122,0.49905,1.22367,0.63305,0.000696702,0.000696702,0.000696702
12,1843.95,0.5566,1.33793,1.16222,0.71937,0.9716,0.83904,0.78998,0.39272,1.02121,0.54642,0.000693105,0.000693105,0.000693105
13,1960.62,0.53072,1.31966,1.13376,0.69644,0.93446,0.85226,0.78369,0.45578,1.17201,0.57737,0.000689181,0.000689181,0.000689181
14,2077.03,0.52612,1.30637,1.1421,0.74946,0.94965,0.84486,0.80117,0.39162,0.95271,0.55535,0.000684932,0.000684932,0.000684932
15,2196.53,0.50504,1.25703,1.13073,0.64845,0.89074,0.79538,0.77381,0.31982,1.07536,0.53504,0.000680363,0.000680363,0.000680363
16,2317.51,0.49087,1.18843,1.12098,0.75245,0.96667,0.82531,0.80416,0.30035,0.96692,0.52581,0.000675478,0.000675478,0.000675478
17,2436.97,0.50452,1.20149,1.1218,0.73401,0.98693,0.84345,0.82704,0.32067,0.89025,0.52865,0.000670283,0.000670283,0.000670283
18,2555.19,0.47401,1.15781,1.10544,0.71619,0.99819,0.82366,0.79681,0.31702,0.88195,0.50204,0.000664782,0.000664782,0.000664782
19,2667.81,0.48764,1.17763,1.11096,0.74691,0.96492,0.84596,0.811,0.37444,0.89272,0.5184,0.000658981,0.000658981,0.000658981
20,2790.66,0.47987,1.11837,1.10773,0.76772,0.99701,0.86681,0.85048,0.27004,0.80952,0.49996,0.000652885,0.000652885,0.000652885
21,2906.81,0.45388,1.14371,1.08891,0.75135,0.99867,0.84962,0.83426,0.31642,0.85096,0.52296,0.000646501,0.000646501,0.000646501
22,3023.66,0.4319,1.08122,1.07491,0.73253,0.9867,0.84386,0.8349,0.33853,0.87283,0.53572,0.000639834,0.000639834,0.000639834
23,3145.72,0.44818,1.07048,1.08335,0.73125,0.98981,0.84671,0.82165,0.34435,0.85872,0.52485,0.000632892,0.000632892,0.000632892
24,3257.26,0.44117,1.06309,1.07885,0.74466,0.99083,0.84413,0.81581,0.32447,0.83448,0.51619,0.000625682,0.000625682,0.000625682
25,3366.87,0.43722,1.06457,1.0763,0.75704,0.99196,0.86626,0.85931,0.26322,0.78543,0.47379,0.000618209,0.000618209,0.000618209
26,3481.49,0.42544,1.06519,1.06874,0.75122,0.98025,0.8231,0.80209,0.3015,0.77284,0.49126,0.000610483,0.000610483,0.000610483
27,3592.64,0.44058,1.05333,1.07797,0.73653,0.97902,0.85063,0.82472,0.31028,0.90358,0.48594,0.000602509,0.000602509,0.000602509
28,3701.15,0.42472,0.96723,1.05957,0.74163,1,0.83282,0.78165,0.38601,0.96359,0.52917,0.000594297,0.000594297,0.000594297
29,3813.39,0.41177,1.01845,1.05933,0.76002,1,0.85908,0.8408,0.30005,0.79028,0.47643,0.000585855,0.000585855,0.000585855
30,3925.89,0.41652,1.01471,1.05631,0.74309,0.96952,0.83351,0.82872,0.21152,0.73425,0.44006,0.00057719,0.00057719,0.00057719
31,4036.57,0.39517,0.98189,1.05223,0.75759,0.97356,0.84077,0.83903,0.25035,0.84358,0.44429,0.000568311,0.000568311,0.000568311
