epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,50.4326,1.18222,3.04071,1.58323,0.01095,1,0.43107,0.37929,0.29754,3.07977,0.4811,0.0002875,0.0002875,0.0002875
2,100.746,0.87816,2.76128,1.38442,0.52635,0.58333,0.61573,0.52688,0.60831,2.59216,0.6723,0.000587357,0.000587357,0.000587357
3,144.443,0.88285,2.28138,1.3583,0.60499,0.80037,0.70916,0.56487,0.74143,1.58242,0.83098,0.000886633,0.000886633,0.000886633
4,185.346,0.93656,1.95643,1.4107,0.47547,0.77257,0.72398,0.5056,1.10326,3.37701,1.13237,0.00118489,0.00118489,0.00118489
5,232.872,0.86405,1.75909,1.35966,0.62363,0.93101,0.78561,0.57029,0.90424,3.64916,1.00062,0.00124512,0.00124512,0.00124512
6,272.47,0.83652,1.58058,1.35123,0.4461,0.64956,0.4268,0.25522,0.89226,6.03573,0.89471,0.00124238,0.00124238,0.00124238
7,309.185,0.82034,1.52859,1.30726,0.52099,0.71712,0.60151,0.42095,0.88631,7.38315,0.86318,0.00123904,0.00123904,0.00123904
8,344.702,0.83675,1.48796,1.33225,0.59273,0.68623,0.7027,0.46277,1.13542,3.15451,1.17755,0.0012351,0.0012351,0.0012351
9,382.296,0.78089,1.39738,1.27634,0.50548,0.85945,0.81611,0.59334,0.68424,4.49666,0.84298,0.00123056,0.00123056,0.00123056
10,426.875,0.71551,1.25226,1.23862,0.72129,0.77143,0.79564,0.68231,0.63248,1.32139,0.66124,0.00122543,0.00122543,0.00122543
11,473.68,0.74023,1.22578,1.26498,0.84205,0.75633,0.87083,0.73483,0.66384,1.96252,0.70871,0.00121972,0.00121972,0.00121972
12,517.534,0.64903,1.13955,1.20771,0.78473,0.88152,0.87616,0.72346,0.74244,1.26522,0.76727,0.00121342,0.00121342,0.00121342
13,560.634,0.62455,1.15549,1.19042,0.70344,0.88271,0.93382,0.84883,0.54816,1.71329,0.61884,0.00120655,0.00120655,0.00120655
